X,Y
391,355
391,355
383,360
383,360
383,360
376,366
376,366
376,366
376,366
370,370
370,370
370,370
370,370
365,373
365,373
365,373
365,373
360,377
360,377
360,377
360,377
354,381
354,381
354,381
354,381
350,384
350,384
350,384
350,384
345,388
345,388
345,388
345,388
339,391
339,391
339,391
339,391
339,391
335,393
335,393
335,393
335,393
331,397
331,397
331,397
331,397
326,400
326,400
326,400
326,400
324,402
324,402
324,402
324,402
321,404
321,404
321,404
319,405
319,405
319,405
319,405
317,407
317,407
317,407
317,407
315,408
315,408
315,408
315,408
315,408
313,410
313,410
313,410
313,410
311,411
311,411
311,411
309,413
309,413
309,413
309,413
307,414
307,414
307,414
307,414
304,416
304,416
304,416
304,416
304,416
302,417
302,417
302,417
302,417
300,418
300,418
300,418
300,418
298,419
298,419
298,419
296,420
296,420
296,420
296,420
294,421
294,421
294,421
294,421
292,422
292,422
292,422
292,422
288,423
288,423
288,423
288,423
288,423
285,423
285,423
285,423
285,423
282,424
282,424
282,424
282,424
279,425
279,425
279,425
279,425
276,425
276,425
276,425
273,426
273,426
273,426
273,426
273,426
271,426
271,426
271,426
271,426
268,426
268,426
268,426
268,426
264,428
264,428
264,428
264,428
260,429
260,429
260,429
260,429
260,429
256,430
256,430
256,430
256,430
253,430
253,430
253,430
253,430
250,430
250,430
250,430
250,430
249,431
249,431
249,431
249,431
247,431
247,431
247,431
247,431
246,431
246,431
246,431
246,431
246,431
244,431
244,431
244,431
244,431
244,431
244,431
244,431
244,431
243,431
243,431
243,431
243,431
243,431
243,431
243,431
243,431
242,431
242,431
242,431
242,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
241,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,431
240,430
240,430
240,430
240,430
240,430
240,430
240,430
240,430
240,429
240,429
240,429
240,429
240,428
240,428
240,428
240,428
240,428
239,424
239,424
239,424
239,424
239,416
239,416
239,416
239,416
239,410
239,410
239,410
239,410
239,406
239,406
239,406
239,406
239,402
239,402
239,402
239,402
239,399
239,399
239,399
239,399
239,394
239,394
239,394
239,394
239,389
239,389
239,389
239,389
239,389
240,383
240,383
240,383
240,383
242,375
242,375
242,375
242,375
243,368
243,368
243,368
243,368
244,362
244,362
244,362
244,362
244,362
245,358
245,358
245,358
245,358
247,352
247,352
247,352
247,352
249,347
249,347
249,347
249,347
249,347
250,343
250,343
250,343
250,343
251,340
251,340
251,340
251,340
252,337
252,337
252,337
252,337
254,332
254,332
254,332
254,332
257,327
257,327
257,327
257,327
260,320
260,320
260,320
260,320
264,313
264,313
264,313
268,308
268,308
271,305
271,305
271,305
271,305
273,301
273,301
273,301
273,301
273,301
277,298
277,298
277,298
277,298
279,296
279,296
279,296
279,296
282,294
282,294
285,291
285,291
285,291
285,291
290,288
290,288
290,288
290,288
294,286
294,286
294,286
294,286
294,286
300,284
300,284
300,284
300,284
305,281
305,281
305,281
305,281
311,279
311,279
311,279
311,279
316,277
316,277
316,277
316,277
316,277
316,277
316,277
329,274
329,274
329,274
329,274
333,274
333,274
333,274
337,274
337,274
337,274
337,274
340,274
340,274
340,274
340,274
343,274
343,274
343,274
343,274
345,274
345,274
345,274
348,274
348,274
350,275
350,275
350,275
350,275
353,275
353,275
353,275
353,275
355,276
355,276
355,276
355,276
355,276
357,277
357,277
357,277
357,277
360,278
360,278
360,278
360,278
363,280
363,280
363,280
363,280
365,281
365,281
365,281
365,281
367,284
367,284
367,284
369,285
369,285
369,285
369,285
371,287
371,287
371,287
371,287
372,289
372,289
372,289
372,289
374,290
374,290
374,290
374,290
375,292
375,292
375,292
377,294
377,294
378,295
378,295
380,298
380,298
380,298
380,298
381,299
381,299
381,299
383,301
383,301
383,301
386,304
386,304
386,304
386,304
389,305
389,305
389,305
389,305
391,309
393,311
393,311
393,311
393,311
395,313
395,313
395,313
397,315
397,315
397,315
397,315
398,317
398,317
400,319
400,319
400,319
400,319
401,321
401,321
401,321
403,325
403,325
403,325
403,325
403,325
405,327
405,327
405,327
408,332
408,332
410,336
410,336
410,336
410,336
412,338
412,338
412,338
413,341
413,341
416,344
416,344
417,345
417,345
417,345
417,345
419,348
419,348
419,348
420,349
420,349
420,349
420,349
422,350
422,350
422,350
422,350
423,353
423,353
423,353
423,353
425,354
425,354
425,354
428,357
428,357
428,357
431,361
431,361
431,361
431,361
436,365
436,365
436,365
436,365
441,370
441,370
441,370
441,370
445,373
445,373
445,373
448,377
448,377
448,377
448,377
453,380
453,380
453,380
458,384
458,384
458,384
461,385
461,385
461,385
461,385
466,388
466,388
466,388
470,390
470,390
470,390
475,392
475,392
481,395
481,395
485,397
485,397
485,397
491,398
491,398
491,398
491,398
497,398
497,398
497,398
497,398
497,398
501,398
501,398
501,398
505,398
505,398
510,398
510,398
510,398
510,398
514,398
514,398
514,398
520,398
520,398
520,398
520,398
525,398
525,398
531,398
531,398
531,398
531,398
538,398
538,398
538,398
538,398
543,398
543,398
543,398
543,398
549,396
554,395
554,395
554,395
554,395
559,394
559,394
563,392
563,392
563,392
563,392
568,390
568,390
568,390
568,390
571,389
571,389
571,389
571,389
576,387
576,387
576,387
579,385
579,385
579,385
579,385
582,383
582,383
582,383
582,383
586,381
586,381
586,381
586,381
589,378
589,378
589,378
589,378
593,377
593,377
593,377
595,374
595,374
595,374
597,373
597,373
597,373
597,373
597,373
599,371
599,371
599,371
600,370
600,370
600,370
600,370
600,370
601,368
601,368
601,368
601,368
603,366
603,366
603,366
603,366
604,363
604,363
604,363
604,363
606,360
606,360
606,360
606,360
608,356
608,356
608,356
608,356
609,353
609,353
609,353
609,353
611,350
611,350
611,350
611,350
613,345
613,345
613,345
613,345
615,341
615,341
615,341
615,341
615,341
616,338
616,338
616,338
616,338
618,333
618,333
618,333
618,333
618,333
620,328
620,328
620,328
620,328
622,325
622,325
622,325
622,325
622,322
622,322
622,322
622,322
624,319
624,319
624,319
624,319
626,314
626,314
626,314
626,314
627,311
627,311
627,311
627,311
627,308
627,308
627,308
627,308
629,306
629,306
629,306
629,306
630,303
630,303
630,303
630,303
630,303
632,300
632,300
632,300
632,300
634,297
634,297
634,297
634,297
634,297
637,295
637,295
637,295
638,293
638,293
638,293
638,293
638,293
641,289
641,289
641,289
641,289
643,287
643,287
643,287
643,287
646,284
646,284
646,284
646,284
646,284
646,284
646,284
646,284
653,279
653,279
653,279
653,279
656,278
656,278
656,278
656,278
658,276
658,276
658,276
658,276
661,275
661,275
661,275
663,273
663,273
663,273
663,273
666,272
666,272
666,272
666,272
669,272
669,272
669,272
669,272
674,271
674,271
674,271
674,271
674,271
677,270
677,270
677,270
677,270
677,270
680,270
680,270
680,270
680,270
683,270
683,270
683,270
683,270
685,270
685,270
685,270
685,270
687,270
687,270
687,270
687,270
687,270
690,271
690,271
690,271
690,271
692,272
692,272
692,272
692,272
694,273
694,273
694,273
694,273
696,274
696,274
696,274
696,274
698,275
698,275
698,275
699,276
699,276
699,276
699,276
700,277
700,277
700,277
700,277
700,277
702,278
702,278
702,278
702,278
703,280
703,280
703,280
703,280
705,282
705,282
705,282
705,282
706,285
706,285
706,285
706,285
708,288
708,288
708,288
708,288
708,288
710,294
710,294
710,294
710,294
712,297
712,297
712,297
713,302
713,302
713,302
713,302
713,302
714,305
714,305
714,305
714,305
715,308
715,308
715,308
715,308
716,311
716,311
716,311
716,311
716,314
716,314
716,314
716,314
716,320
716,320
716,320
716,320
717,325
717,325
717,325
717,325
718,331
718,331
718,331
718,331
718,331
718,335
718,335
718,335
718,335
719,339
719,339
719,339
719,339
720,343
720,343
720,343
720,343
721,346
721,346
721,346
721,346
721,347
721,347
721,347
